<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.04	16:00:00	1.06106	1.06286	1.06023	1.06243	9981	0	0
2023.01.04	17:00:00	1.06239	1.06251	1.05812	1.06034	15746	0	0
2023.01.04	18:00:00	1.06034	1.06208	1.05928	1.06191	9324	0	0
2023.01.04	19:00:00	1.06194	1.06201	1.06048	1.06074	5581	0	0
2023.01.04	20:00:00	1.06074	1.06129	1.05956	1.05991	4637	0	0
2023.01.04	21:00:00	1.05992	1.06068	1.05851	1.06056	11584	0	0
2023.01.04	22:00:00	1.06056	1.06103	1.06012	1.06035	6507	0	0
2023.01.04	23:00:00	1.06039	1.06082	1.06010	1.06030	1621	0	0
2023.01.05	00:00:00	1.06015	1.06091	1.05973	1.06050	1026	0	9
2023.01.05	01:00:00	1.06065	1.06112	1.06017	1.06061	1777	0	0
2023.01.05	02:00:00	1.06056	1.06311	1.06030	1.06289	3327	0	0
2023.01.05	03:00:00	1.06289	1.06315	1.06184	1.06204	3431	0	1
2023.01.05	04:00:00	1.06202	1.06202	1.06088	1.06174	3310	0	1
2023.01.05	05:00:00	1.06174	1.06196	1.06061	1.06069	2484	0	1
2023.01.05	06:00:00	1.06068	1.06114	1.06036	1.06043	2196	0	0
2023.01.05	07:00:00	1.06043	1.06106	1.06017	1.06106	2453	0	0
2023.01.05	08:00:00	1.06107	1.06200	1.06028	1.06034	2767	0	0
2023.01.05	09:00:00	1.06027	1.06123	1.05902	1.06055	5644	0	0
2023.01.05	10:00:00	1.06055	1.06279	1.06051	1.06202	8517	0	0
2023.01.05	11:00:00	1.06200	1.06291	1.06096	1.06235	5647	0	0
2023.01.05	12:00:00	1.06238	1.06260	1.06100	1.06187	4977	0	0
2023.01.05	13:00:00	1.06188	1.06221	1.06031	1.06111	4401	0	0
2023.01.05	14:00:00	1.06111	1.06175	1.05982	1.05995	5003	0	0
2023.01.05	15:00:00	1.05995	1.06083	1.05514	1.05524	12493	0	0
2023.01.05	16:00:00	1.05524	1.05621	1.05358	1.05393	11756	0	0
2023.01.05	17:00:00	1.05393	1.05675	1.05150	1.05185	13031	0	0
2023.01.05	18:00:00	1.05185	1.05320	1.05173	1.05211	8313	0	0
2023.01.05	19:00:00	1.05211	1.05333	1.05187	1.05299	5702	0	0
2023.01.05	20:00:00	1.05299	1.05433	1.05292	1.05360	6368	0	0
2023.01.05	21:00:00	1.05362	1.05387	1.05290	1.05302	4868	0	0
2023.01.05	22:00:00	1.05301	1.05307	1.05201	1.05201	4825	0	0
2023.01.05	23:00:00	1.05210	1.05229	1.05152	1.05207	1907	0	0
2023.01.06	00:00:00	1.05205	1.05232	1.05178	1.05198	1390	0	18
2023.01.06	01:00:00	1.05203	1.05257	1.05185	1.05206	1491	0	2
2023.01.06	02:00:00	1.05209	1.05312	1.05189	1.05290	3148	0	0
2023.01.06	03:00:00	1.05292	1.05326	1.05225	1.05250	2343	0	0
2023.01.06	04:00:00	1.05251	1.05338	1.05250	1.05265	2019	0	1
2023.01.06	05:00:00	1.05266	1.05362	1.05259	1.05321	2734	0	0
2023.01.06	06:00:00	1.05317	1.05345	1.05242	1.05243	1173	0	0
2023.01.06	07:00:00	1.05244	1.05253	1.05106	1.05143	2651	0	0
2023.01.06	08:00:00	1.05148	1.05224	1.05104	1.05127	2657	0	0
2023.01.06	09:00:00	1.05124	1.05227	1.05072	1.05127	6653	0	0
2023.01.06	10:00:00	1.05128	1.05310	1.05112	1.05186	6122	0	0
2023.01.06	11:00:00	1.05185	1.05196	1.04968	1.05075	5796	0	0
2023.01.06	12:00:00	1.05075	1.05161	1.05032	1.05077	5040	0	0
2023.01.06	13:00:00	1.05077	1.05113	1.04924	1.04943	4396	0	0
2023.01.06	14:00:00	1.04947	1.04966	1.04832	1.04946	4832	0	0
2023.01.06	15:00:00	1.04947	1.05450	1.04865	1.05426	13943	0	0
2023.01.06	16:00:00	1.05426	1.05432	1.05011	1.05088	12486	0	0
2023.01.06	17:00:00	1.05355	1.06125	1.05242	1.06019	16930	0	0
2023.01.06	18:00:00	1.06018	1.06226	1.05967	1.06187	10129	0	0
2023.01.06	19:00:00	1.06187	1.06382	1.06166	1.06377	5812	0	0
2023.01.06	20:00:00	1.06378	1.06437	1.06295	1.06378	4344	0	0
2023.01.06	21:00:00	1.06378	1.06479	1.06378	1.06456	4284	0	0
2023.01.06	22:00:00	1.06456	1.06481	1.06427	1.06462	4243	0	0
2023.01.06	23:00:00	1.06461	1.06461	1.06418	1.06427	1398	0	0
2023.01.09	00:00:00	1.06394	1.06404	1.06360	1.06388	402	0	28
2023.01.09	01:00:00	1.06394	1.06628	1.06394	1.06623	2422	0	2
2023.01.09	02:00:00	1.06623	1.06675	1.06516	1.06612	2834	0	0
2023.01.09	03:00:00	1.06613	1.06719	1.06551	1.06667	3721	0	1
2023.01.09	04:00:00	1.06667	1.06777	1.06663	1.06770	3225	0	1
2023.01.09	05:00:00	1.06769	1.06769	1.06659	1.06675	2960	0	1
2023.01.09	06:00:00	1.06673	1.06784	1.06667	1.06766	1525	0	0
2023.01.09	07:00:00	1.06765	1.06831	1.06731	1.06772	2312	0	0
2023.01.09	08:00:00	1.06772	1.06863	1.06756	1.06818	2794	0	0
